,0
0,1
1,1
2,0
3,0
4,1
5,0
6,0
7,1
8,1
9,0
10,1
11,0
12,1
13,0
14,1
15,1
16,1
17,1
18,0
19,1
20,1
21,0
22,1
23,0
24,1
25,0
26,0
27,1
28,1
29,1
30,0
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,0
39,0
40,1
41,0
42,1
43,1
44,0
45,1
46,0
47,0
48,0
49,1
50,1
51,0
52,0
53,0
54,1
55,1
56,1
57,1
58,0
59,1
60,1
61,1
62,1
63,1
64,0
65,0
66,1
67,1
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,1
76,1
77,0
78,1
79,1
80,1
81,1
82,1
83,1
84,0
85,0
86,1
87,1
88,1
89,1
90,1
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,1
99,0
100,1
101,0
102,1
103,0
104,0
105,1
106,0
107,0
108,0
109,0
110,0
111,1
112,1
113,0
114,1
115,0
116,1
117,0
118,0
119,0
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,0
129,0
130,1
131,0
132,0
133,1
134,1
135,1
136,0
137,0
138,0
139,1
140,1
141,0
142,1
143,0
144,0
145,1
146,0
147,0
148,1
149,1
150,0
151,0
152,0
153,1
154,1
155,0
156,0
157,1
158,0
159,0
160,0
161,1
162,0
163,0
164,0
165,1
166,1
167,1
168,0
169,0
170,0
171,1
172,0
173,0
174,1
175,0
176,0
177,0
178,0
179,0
180,0
181,1
182,1
183,0
184,0
185,0
186,0
187,1
188,1
189,1
190,1
191,1
192,0
193,1
194,0
195,0
196,1
197,0
198,1
199,0
200,0
201,1
202,1
203,0
204,0
205,1
206,0
207,0
208,1
209,0
210,1
211,1
212,0
213,1
214,0
215,1
216,0
217,1
218,0
219,1
220,0
221,0
222,0
223,1
224,1
225,1
226,1
227,0
228,1
229,0
230,0
231,1
232,0
233,0
234,1
235,1
236,0
237,1
238,0
239,0
240,0
241,0
242,1
243,1
244,1
245,0
246,0
247,1
248,0
249,0
250,0
251,1
252,1
253,0
254,0
255,1
256,0
257,0
258,1
259,1
260,1
261,0
262,1
263,0
264,1
265,0
266,1
267,1
268,0
269,0
270,0
271,0
272,1
273,1
274,1
275,1
276,0
277,0
278,0
279,1
280,0
281,1
282,1
283,1
284,0
285,0
286,1
287,1
288,0
289,1
290,0
291,1
292,0
293,0
294,1
295,0
296,0
297,0
298,1
299,1
300,1
301,0
302,0
303,1
304,1
305,1
306,1
307,1
308,0
309,0
310,1
311,1
312,1
313,0
314,0
315,0
316,0
317,1
318,0
319,1
320,1
321,0
322,0
323,0
324,1
325,1
326,1
327,1
328,1
329,0
330,1
331,1
332,0
333,0
334,0
335,0
336,0
337,0
338,1
339,0
340,1
341,1
342,0
343,1
344,0
345,0
346,0
347,1
348,0
349,1
350,1
351,1
352,0
353,0
354,0
355,0
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,0
364,1
365,0
366,1
367,0
368,0
369,0
370,0
371,0
372,0
373,1
374,0
375,0
376,0
377,1
378,1
379,0
380,1
381,0
382,0
383,1
384,0
385,0
386,0
387,0
388,1
389,1
390,0
391,0
392,1
393,0
394,1
395,1
396,1
397,1
398,1
399,1
400,0
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,0
409,1
410,1
411,1
412,0
413,1
414,0
415,0
416,1
417,0
418,1
419,0
420,0
421,0
422,1
423,0
424,0
425,0
426,0
427,0
428,1
429,1
430,1
431,0
432,1
433,1
434,0
435,0
436,1
437,1
438,1
439,0
440,1
441,0
442,1
443,1
444,1
445,1
446,1
447,1
448,0
449,0
450,0
451,0
452,0
453,1
454,0
455,1
456,1
457,1
458,0
459,0
460,1
461,1
462,0
463,1
464,0
465,0
466,0
467,1
468,0
469,1
470,0
471,1
472,0
473,0
474,1
475,0
476,0
477,0
478,1
479,0
480,0
481,1
482,1
483,0
484,1
485,1
486,1
487,0
488,1
489,1
490,1
491,0
492,0
493,1
494,0
495,1
496,0
497,0
498,1
499,0
500,0
501,0
502,0
503,0
504,1
505,1
506,1
507,0
508,0
509,0
510,0
511,0
512,1
513,0
514,0
515,0
516,1
517,1
518,0
519,0
520,1
521,0
522,0
523,0
524,0
525,0
526,1
527,1
528,1
529,1
530,0
531,1
532,1
533,1
534,0
535,0
536,0
537,0
538,0
539,1
540,0
541,1
542,0
543,0
544,1
545,1
546,0
547,1
548,1
549,1
550,0
551,1
552,1
553,0
554,0
555,1
556,0
557,0
558,0
559,0
560,0
561,0
562,1
563,1
564,1
565,1
566,0
567,0
568,0
569,1
570,1
571,0
572,1
573,0
574,0
575,0
576,0
577,1
578,1
579,1
580,1
581,1
582,1
583,1
584,1
585,0
586,0
587,1
588,0
589,0
590,0
591,1
592,1
593,0
594,1
595,0
596,1
597,1
598,1
599,0
600,0
601,1
602,0
603,1
604,1
605,0
606,0
607,1
608,0
609,1
610,1
611,0
612,1
613,0
614,0
615,0
616,0
617,1
618,0
619,0
620,0
621,0
622,0
623,1
624,0
625,0
626,0
627,0
628,1
629,0
630,1
631,1
632,1
633,1
634,0
635,0
636,0
637,0
638,0
639,1
640,0
641,0
642,0
643,1
644,1
645,1
646,0
647,1
648,1
649,1
650,0
651,0
652,1
653,0
654,0
655,0
656,1
657,1
658,1
659,0
660,0
661,0
662,1
663,0
664,0
665,0
666,1
667,1
668,0
669,0
670,1
671,1
672,0
673,0
674,0
675,1
676,1
677,0
678,1
679,0
680,1
681,1
682,0
683,0
684,0
685,0
686,1
687,1
688,0
689,0
690,1
691,0
692,1
693,1
694,0
695,0
696,1
697,0
698,1
699,0
700,1
701,0
702,1
703,0
704,0
705,0
706,1
707,1
708,0
709,0
710,0
711,1
712,1
713,1
714,0
715,0
716,1
717,1
718,0
719,1
720,0
721,0
722,1
723,0
724,0
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,1
736,0
737,0
738,1
739,1
740,1
741,0
742,1
743,0
744,0
745,1
746,0
747,1
748,1
749,1
750,1
751,1
752,1
753,1
754,1
755,1
756,0
757,1
758,1
759,0
760,0
761,1
762,1
763,0
764,1
765,0
766,0
767,0
768,0
769,0
770,1
771,1
772,1
773,1
774,0
775,0
776,0
777,1
778,0
779,1
780,1
781,0
782,1
783,0
784,0
785,1
786,0
787,1
788,1
789,0
790,0
791,1
792,1
793,0
794,0
795,1
796,1
797,0
798,1
799,0
800,1
801,1
802,0
803,1
804,0
805,1
806,1
807,1
808,1
809,0
810,0
811,0
812,1
